

########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(목록)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
연번 | 데이터셋 한글명(테이블 한글명) | 데이터셋명(테이블명) | 변수(항목)개수
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 11
2 | 암_공공_병기조사_간암_DB_사망 | CS_LV_DEATH | 3
3 | 암_공공_병기조사_간암_DB_자격및보험료 | CS_LV_BFC | 6
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 22
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 13
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 6
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 10
8 | 암_공공_병기조사_간암_DB_일반건강검진_대상자 | CS_LV_G1E_OBJ | 2
9 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0708 | CS_LV_G1Q_0708 | 24
10 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0917 | CS_LV_G1Q_0917 | 31
11 | 암_공공_병기조사_간암_DB_일반건강검진_문진_1823 | CS_LV_G1Q_1823 | 88
12 | 암_공공_병기조사_간암_DB_일반건강검진_결과및판정 | CS_LV_G1E | 21
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 67
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 82
15 | 암_공공_병기조사_간암_DB_암검진_간암_0708 | CS_LV_CLV_RST_0708 | 53
16 | 암_공공_병기조사_간암_DB_암검진_간암_0923 | CS_LV_CLV_RST_0923 | 60


########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(항목)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
※ 카탈로그에 기재된 설명 외의 자세한 코드값은 보건의료빅데이터개방시스템(https://opendata.hira.or.kr) 참고
연번 | 데이터셋명(테이블 한글명) | 데이터셋명(테이블명) | SUB NO | 변수 (컬럼한글명) | 변수명 (컬럼명) | 설명 | 값 | 형식 (Data Type)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 10 | 요양종료일자 | RECU_TO_DD | 수진자의 진료 종료일자 | YYYYMMDD | VARCHAR(8)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 11 | 최초입원일자 | FST_IPAT_DD | 상병진료를 위하여 해당 달에 최초 내원한 날짜 | YYYYMMDD | VARCHAR(8)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 12 | 입내원일수 | VST_DDCNT | 수진자가 진료를 받기 위해 요양기관에 내원한 외래 일수 또는 입원일수 | _일 | INTEGER(10,0)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 13 | 요양일수 | RECU_DDCNT | 수진자를 진료한 총 일수(투약 일수 포함) | _일 | INTEGER(10,0)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 14 | 원외처방일수 | OPRSC_DDCNT | 처방전 발행 내역 중 처방일수의 합계 | _일 | INTEGER(10,0)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 15 | 원외처방전건수 | OPRSCD_CNT | 처방전을 발행한 건수 | _건 | INTEGER(10,0)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 16 | 심사결정요양급여비용총액 | RVD_RPE_TAMT_AMT | 심사결과 수진자 본인이 부담해야 될 금액과 보험자가 부담해야 될 금액을 합한 요양급여비용총액 | 심사결과 수진자 본인이 부담해야 될 금액과 보험자가 부담해야 될 금액을 합한 요양급여비용총액 | INTEGER(10,0)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 17 | 수술여부 | SOPR_YN | 수술 구분코드 | 0: 비수술, 9: 수술 | VARCHAR(1)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 18 | 공상구분코드 | OINJ_TP_CD | 공상구분코드 | - 공무상 상해 구분  0: 정상건, 1: 공상건(공교공단분), 3: 광주민주유공자(30%감면), 4: 보훈(건강보험 또는 의료급여가입자), 5: 보훈감면 50%, 6: 보훈감면 60%, 7: 보훈국비(상이처, 무자격자), 8: 군인가족, 예비역장군등대상(공교공단, 직장, 지역분), 9: 군인, 공무원대상(공교공당분), B: 보훈병원(상이처, 무자격자/보험급여 1차), C: 차상위 본인부담경감 대상자, D: 보훈병원(보험급여 2차), E: 차상위 만성질환 18세 미만 본인부담경감 대상자, F: 차상위 장애인 만성질환 18세 미만 본인부담경감 대상자, G: 긴급복지 의료지원 대상자, H: 희귀난치성질환자 지원대상자, J: 보훈감면 90%, N: 조제기관공상 | VARCHAR(1)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 19 | 특정기호구분코드 | PRCL_SYM_TP_CD | 명세서 특정내역 중 특정내역구분코드 MT002 가 존재하는 경우 값을 설정 상병정보의 특정기호.상병정보에 특정기호가 복수개인 경우 일련번호가 가장 작은 건의 특정 기호로 설정됨 | 「본인일부부담금 산정특례」에 관한 기준 관련 특정기호 코드 | VARCHAR(4)
