

########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(목록)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
연번 | 데이터셋 한글명(테이블 한글명) | 데이터셋명(테이블명) | 변수(항목)개수
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 11
2 | 암_공공_병기조사_간암_DB_사망 | CS_LV_DEATH | 3
3 | 암_공공_병기조사_간암_DB_자격및보험료 | CS_LV_BFC | 6
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 22
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 13
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 6
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 10
8 | 암_공공_병기조사_간암_DB_일반건강검진_대상자 | CS_LV_G1E_OBJ | 2
9 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0708 | CS_LV_G1Q_0708 | 24
10 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0917 | CS_LV_G1Q_0917 | 31
11 | 암_공공_병기조사_간암_DB_일반건강검진_문진_1823 | CS_LV_G1Q_1823 | 88
12 | 암_공공_병기조사_간암_DB_일반건강검진_결과및판정 | CS_LV_G1E | 21
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 67
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 82
15 | 암_공공_병기조사_간암_DB_암검진_간암_0708 | CS_LV_CLV_RST_0708 | 53
16 | 암_공공_병기조사_간암_DB_암검진_간암_0923 | CS_LV_CLV_RST_0923 | 60


########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(항목)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
※ 카탈로그에 기재된 설명 외의 자세한 코드값은 보건의료빅데이터개방시스템(https://opendata.hira.or.kr) 참고
연번 | 데이터셋명(테이블 한글명) | 데이터셋명(테이블명) | SUB NO | 변수 (컬럼한글명) | 변수명 (컬럼명) | 설명 | 값 | 형식 (Data Type)
CS_LV_T200 | FOM_TP_CD | 서식구분코드 | 201 | 약국직접조제 | 18 | 2007 | 2023
CS_LV_T200 | FOM_TP_CD | 서식구분코드 | 211 | 약국처방조제 | 19 | 2007 | 2023
CS_LV_T200 | FOM_TP_CD | 서식구분코드 | 991 | 조산원외래 | 20 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 00 | 일반의 | 1 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 01 | 내과 | 2 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 02 | 신경과 | 3 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 03 | 정신건강의학과 | 4 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 04 | 외과 | 5 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 05 | 정형외과 | 6 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 06 | 신경외과 | 7 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 07 | 심장혈관흉부외과 | 8 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 08 | 성형외과 | 9 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 09 | 마취통증의학과 | 10 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 10 | 산부인과 | 11 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 11 | 소아청소년과 | 12 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 12 | 안과 | 13 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 13 | 이비인후과 | 14 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 14 | 피부과 | 15 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 15 | 비뇨의학과 | 16 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 16 | 영상의학과 | 17 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 17 | 방사선종양학과 | 18 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 18 | 병리과 | 19 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 19 | 진단검사의학과 | 20 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 20 | 결핵과 | 21 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 21 | 재활의학과 | 22 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 22 | 핵의학과 | 23 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 23 | 가정의학과 | 24 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 24 | 응급의학과 | 25 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 25 | 직업환경의학과 | 26 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 26 | 예방의학과 | 27 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 27 | 기타1(치과) | 28 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 28 | 기타4(한방) | 29 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 31 | 기타2 | 30 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 40 | 기타2 | 31 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 41 | 보건 | 32 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 42 | 기타3 | 33 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 43 | 보건기관치과 | 34 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 44 | 보건기관한방 | 35 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 49 | 치과 | 36 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 50 | 구강악안면외과 | 37 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 51 | 치과보철과 | 38 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 52 | 치과교정과 | 39 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 53 | 소아치과 | 40 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 54 | 치주과 | 41 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 55 | 치과보존과 | 42 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 56 | 구강내과 | 43 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 57 | 영상치의학과 | 44 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 58 | 구강병리과 | 45 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 59 | 예방치과 | 46 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 60 | 치과소계 | 47 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 61 | 통합치의학과 | 48 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 80 | 한방내과 | 49 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 81 | 한방부인과 | 50 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 82 | 한방소아과 | 51 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 83 | 한방안·이비인후·피부과 | 52 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 84 | 한방신경정신과 | 53 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 85 | 침구과 | 54 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 86 | 한방재활의학과 | 55 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 87 | 사상체질과 | 56 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 88 | 한방응급 | 57 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 89 | 한방응급 | 58 | 2007 | 2023
CS_LV_T200 | DGSBJT_CD | 진료과목코드 | 90 | 한방소계 | 59 | 2007 | 2023
CS_LV_T200 | SOPR_YN | 수술여부 | 0 | 비수술 | 1 | 2007 | 2023
CS_LV_T200 | SOPR_YN | 수술여부 | 9 | 수술 | 2 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 0 | 정상건 | 1 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 1 | 공상건(공교공단분) | 2 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 3 | 광주민주유공자(30%감면) | 3 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 4 | 보훈(건강보험 또는 의료급여가입자) | 4 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 5 | 보훈감면 50% | 5 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 6 | 보훈감면 60% | 6 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 7 | 보훈국비(상이처, 무자격자) | 7 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 8 | 군인가족, 예비역장군등대상(공교공단, 직장, 지역분) | 8 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | 9 | 군인, 공무원대상(공교공당분) | 9 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | B | 보훈병원(상이처, 무자격자/보험급여 1차) | 10 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | C | 차상위 본인부담경감 대상자 | 11 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | D | 보훈병원(보험급여 2차) | 12 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | E | 차상위 만성질환 18세 미만 본인부담경감 대상자 | 13 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | F | 차상위 장애인 만성질환 18세 미만 본인부담경감 대상자 | 14 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | G | 긴급복지 의료지원 대상자 | 15 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | H | 희귀난치성질환자 지원대상자 | 16 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | J | 보훈감면 90% | 17 | 2007 | 2023
CS_LV_T200 | OINJ_TP_CD | 공상구분코드 | N | 조제기관공상 | 18 | 2007 | 2023
CS_LV_T200 | DGRSLT_TP_CD | 진료결과구분코드 | 1 | 계속 | 1 | 2007 | 2023
CS_LV_T200 | DGRSLT_TP_CD | 진료결과구분코드 | 2 | 이송 | 2 | 2007 | 2023
CS_LV_T200 | DGRSLT_TP_CD | 진료결과구분코드 | 3 | 회송 | 3 | 2007 | 2023
CS_LV_T200 | DGRSLT_TP_CD | 진료결과구분코드 | 4 | 사망 | 4 | 2007 | 2023
CS_LV_T200 | DGRSLT_TP_CD | 진료결과구분코드 | 5 | 기타 | 5 | 2007 | 2023
CS_LV_T200 | DGRSLT_TP_CD | 진료결과구분코드 | 8 | 전과 | 6 | 2007 | 2023
CS_LV_T200 | DGRSLT_TP_CD | 진료결과구분코드 | 9 | 퇴원 | 7 | 2007 | 2023
CS_LV_T200 | IPAT_ARIV_PTH_TP | 입원도착경로구분코드 | 11 | 타요양기관경유 응급실 | 1 | 2007 | 2023
CS_LV_T200 | IPAT_ARIV_PTH_TP | 입원도착경로구분코드 | 12 | 타요양기관경유 외래 | 2 | 2007 | 2023
CS_LV_T200 | IPAT_ARIV_PTH_TP | 입원도착경로구분코드 | 21 | 응급구조대 응급실 | 3 | 2007 | 2023
CS_LV_T200 | IPAT_ARIV_PTH_TP | 입원도착경로구분코드 | 22 | 응급구조대 외래 | 4 | 2007 | 2023
CS_LV_T200 | IPAT_ARIV_PTH_TP | 입원도착경로구분코드 | 31 | 기타 응급실 | 5 | 2007 | 2023
CS_LV_T200 | IPAT_ARIV_PTH_TP | 입원도착경로구분코드 | 32 | 기타 외래 | 6 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 00 | 일반의 | 1 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 01 | 내과 | 2 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 02 | 신경과 | 3 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 03 | 정신건강의학과 | 4 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 04 | 외과 | 5 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 05 | 정형외과 | 6 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 06 | 신경외과 | 7 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 07 | 흉부외과 | 8 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 08 | 성형외과 | 9 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 09 | 마취통증의학과 | 10 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 10 | 산부인과 | 11 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 11 | 소아청소년과 | 12 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 12 | 안과 | 13 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 13 | 이비인후과 | 14 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 14 | 피부과 | 15 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 15 | 비뇨기과 | 16 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 16 | 진단방사선과,영상의학과 | 17 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 17 | 방사선종양학과 | 18 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 18 | 병리과 | 19 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 19 | 진단검사의학과 | 20 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 20 | 결핵과 | 21 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 21 | 재활의학과 | 22 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 22 | 핵의학과 | 23 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 23 | 가정의학과 | 24 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 24 | 응급의학과 | 25 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 25 | 직업환경의학과 | 26 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 26 | 예방의학과 | 27 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 27 | 치과 | 28 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 28 | 한방 | 29 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 30 | 약국 | 30 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 31 | 기타 | 31 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 40 | 약국 | 32 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 41 | 보건 | 33 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 42 | 보건기관의과 | 34 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 44 | 보건기관한방 | 35 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 49 | 치과 | 36 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 50 | 구강악안면외과 | 37 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 51 | 치과보철과 | 38 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 52 | 치과교정과 | 39 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 53 | 소아치과 | 40 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 54 | 치주과 | 41 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 55 | 치과보존과 | 42 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 56 | 구강내과 | 43 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 57 | 영상치의학과 | 44 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 58 | 구강병리과 | 45 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 59 | 예방치과 | 46 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 60 | 치과소계 | 47 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 61 | 통합치의학과 | 48 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 80 | 한방내과 | 49 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 81 | 한방부인과 | 50 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 82 | 한방소아과 | 51 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 83 | 한방안·이비인후·피부과 | 52 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 84 | 한방신경정신과 | 53 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 85 | 침구과 | 54 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 86 | 한방재활의학과 | 55 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 87 | 사상체질과 | 56 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 88 | 한방응급 | 57 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 90 | 한방소계 | 58 | 2007 | 2023
CS_LV_T200 | SHW_SBJT_CD | 표시과목코드 | 99 | 기타/해당없음 또는 전체 | 59 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 00001 | 항목코드오류 | 1 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01001 | 진찰료/목착오(양방) | 2 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01002 | 진찰료/목착오(한방) | 3 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01003 | 진찰료/목착오(약국) | 4 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01011 | 진찰료/초진(양방) | 5 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01012 | 진찰료/초진(한방) | 6 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01013 | 진찰료/초진(약국) | 7 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01021 | 진찰료/재진(양방) | 8 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01022 | 진찰료/재진(한방) | 9 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01023 | 진찰료/재진(약국) | 10 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01031 | 진찰료/응급 및 회송료 등(양방) | 11 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01032 | 진찰료/응급 및 회송료 등(한방) | 12 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01033 | 약가/주사(약국) | 13 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01991 | 입원료/(양방) | 14 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 01992 | 진찰료/기타(한방) | 15 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02001 | 입원료/목착오(양방) | 16 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02002 | 입원료/목착오(한방) | 17 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02003 | 입원료/목착오(약국) | 18 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02011 | 입원료/일반(양방) | 19 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02012 | 입원료/일반(한방) | 20 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02013 | 입원료/일반(약국) | 21 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02021 | 입원료/내과,정신과,만8세미만의 소아(양방) | 22 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02022 | 입원료/내과,정신과,만8세미만의 소아(한방) | 23 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02023 | 입원료/내과,정신과,만8세미만의 소아(약국) | 24 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02031 | 입원료/집중치료실(양방) | 25 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02032 | 입원료/집중치료실(한방) | 26 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02033 | 입원료/집중치료(약국) | 27 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02041 | 입원료/격리병실(양방) | 28 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02042 | 입원료/격리병실(한방) | 29 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02043 | 입원료/기본식대,식대(약국) | 30 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02051 | 입원료/신생아(분만관리료)(양방) | 31 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02052 | 입원료/안치료(한방) | 32 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02053 | 입원료/가산식대,안치료(약국) | 33 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02101 | 입원료/기본식대(양방) | 34 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02102 | 입원료/기본식대(한방) | 35 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02111 | 입원료/가산식대(양방) | 36 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02112 | 입원료/가산식대(한방) | 37 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02991 | 입원료/기타입원료(양방) | 38 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 02992 | 입원료/기타입원료(한방) | 39 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03001 | 투여 및 처방전료/목착오(양방) | 40 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03002 | 투여 및 처방전료/목착오(한방) | 41 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03003 | 투여 및 처방전료/목착오(약국) | 42 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03011 | 투여 및 처방전료/내복(양방) | 43 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03012 | 투여 및 처방전료/내복(한방) | 44 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03013 | 투여 및 처방전료/내복약(약국) | 45 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03021 | 투여 및 처방전료/외용(양방) | 46 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03022 | 투여 및 처방전료/외용(한방) | 47 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03023 | 투여 및 처방전료/처방.조제.복약지도료(약국) | 48 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03031 | 투여 및 처방전료/처방전(양방) | 49 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03032 | 투여 및 처방전료/처방전(한방) | 50 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03991 | 투여료/99목(오류)(양방) | 51 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 03992 | 투여료/기타(한방) | 52 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04001 | 주사료/목착오(양방) | 53 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04002 | 주사료/목착오(한방) | 54 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04003 | 시술료/목착오(약국) | 55 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04011 | 주사료/피하, 근육내(양방) | 56 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04012 | 주사료/피하, 근육내(한방) | 57 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04013 | 시술료/침술(약국) | 58 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04021 | 주사료/정맥내(양방) | 59 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04022 | 주사료/정맥내(한방) | 60 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04023 | 시술료/구술(약국) | 61 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04031 | 주사료/수액제(양방) | 62 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04032 | 주사료/수액제(한방) | 63 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04033 | 시술료/부항술(약국) | 64 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04041 | 주사료/기타(양방) | 65 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04042 | 주사료/기타(한방) | 66 | 2007 | 2023
CS_LV_T300 | CZ_ITEM_CD | 항목코드 | 04043 | 시술료/처치료(약국) | 67 | 2007 | 2023
